Obs,Y1,Y2,X1,X2,X3,X4
1,41.85,83.75,69.69,170.83,45,219.74
2,155.32,51.87,113.46,230.06,25,181.22
3,99.62,53.79,113.54,228.19,65,179.05
4,549.41,53.84,118.75,117.73,65,281.3
5,72.96,49.17,119.72,117.6,25,182.3
6,107.7,47.61,168.38,173.46,45,216.14
7,97.23,64.19,169.35,169.85,45,223.88
8,105.85,52.73,169.85,170.86,45,222.8
9,95.34,51,170.89,173.92,80,218.34
10,111.9,47.37,171.31,173.34,25,218.12
11,100.01,43.18,171.43,171.43,45,219.2
12,175.38,71.23,171.59,263.49,45,168.62
13,117.3,49.3,171.63,171.63,45,217.58
14,217.41,50.87,171.93,170.91,10,219.92
15,41.73,54.44,173.92,71.73,45,296.6
16,151.4,47.93,221.44,217.39,65,189.14
17,220.63,42.91,222.74,221.73,25,86.08
18,131.66,68.6,228.9,114.4,25,285.8
19,80.54,64.94,231.19,113.52,65,286.34
20,152.96,43.18,236.84,167.77,45,221.72
